Region,Pollution Ranking,Country,Year,PM2.5,CFR,Rainfall,RH,Temp,Urban,Pop density,Obesity%,Diabetes,Hypertension%,oldage,GDP
Asia,2,Bangladesh,2024,78,0.53295,2741.5,76.83,25.55,39.711,1317.254,13.6,14.2,39,9.675464,437415.331
Asia,2,Bangladesh,2023,79.9,0.530856625,2412.17,74.98,25.88,39.711,1317.254,13.6,14.2,39,9.675464,437415.331
Asia,2,Bangladesh,2020,77.1,0.498220641,2804.5,79.8,25.04,39.711,1317.254,13.6,14.2,39,9.675464,437415.331
Asia,2,Bangladesh,2022,75.8,0.45045045,2050.48,77.57,25.4,39.711,1317.254,13.6,14.2,39,9.675464,437415.331
Asia,2,Bangladesh,2021,76.9,0.369341166,2279.42,75.38,25.63,39.711,1317.254,13.6,14.2,39,9.675464,437415.331
Latin America,73,Brazil,2023,12.6,0.068293571,1343.8,69.95,27.21,87.555,25.262,22.1,18.8,45,15.310751,2173665.656
Latin America,73,Brazil,2024,12.9,0.06078,1654.72,69.51,27.09,87.555,25.262,22.1,18.8,45,15.310751,2173665.656
Latin America,73,Brazil,2022,12.2,0.041929519,1502.81,71.83,26.19,87.555,25.262,22.1,18.8,45,15.310751,2173665.656
Latin America,73,Brazil,2020,14.2,0.037760489,1041.83,62.8,27.94,87.555,25.262,22.1,18.8,45,15.310751,2173665.656
Latin America,73,Brazil,2021,13.6,0.024500909,1647.95,69.18,26.86,87.555,25.262,22.1,18.8,45,15.310751,2173665.656
Africa,6,Burkina Faso,2024,46.5,1.006630415,1103.64,54.11,27.31,31.877,84.159,5.6,21.1,31,4.766848,20324.61784
Africa,6,Burkina Faso,2023,56.6,0.5,1032.04,56.21,27.12,31.877,84.159,5.6,21.1,31,4.766848,20324.61784
Africa,6,Burkina Faso,2021,53,0.45,814.27,52.1,27.49,31.877,84.159,5.6,21.1,31,4.766848,20324.61784
Africa,6,Burkina Faso,2022,63,0.45,1205.67,54.9,26.63,31.877,84.159,5.6,21.1,31,4.766848,20324.61784
Africa,6,Burkina Faso,2020,54.7,0.4,1134.82,55.25,26.85,31.877,84.159,5.6,21.1,31,4.766848,20324.61784
Asia,40,Cambodia,2021,19.8,0.42038886,814.27,52.1,27.49,39.4,3136,5.22,2.9,11.2,8.9,2084
Asia,40,Cambodia,2024,21.9,0.242322078,1103.64,54.11,27.31,39.4,3136,5.22,2.9,11.2,8.9,2084
Asia,40,Cambodia,2022,18.3,0.150901438,1205.67,54.9,26.63,39.4,3136,5.22,2.9,11.2,8.9,2084
Asia,40,Cambodia,2020,21.1,0.13358938,1134.82,55.25,26.85,39.4,3136,5.22,2.9,11.2,8.9,2084
Asia,40,Cambodia,2023,22.8,0.123546742,1032.04,56.21,27.12,39.4,3136,5.22,2.9,11.2,8.9,2084
Latin America,82,Colombia,2021,14.1,0.080623992,1322.91,78.52,25.98,82.05,46.562,32.3,8.3,31,13.383401,363493.8412
